client id	R	F	M	RFM Score	cluster id
01032	4	1	3	8	4
01037	5	1	3	9	4
01039	1	1	1	3	3
01041	3	1	3	7	4
01045	5	5	4	14	2
01053	3	4	3	10	1
01066	3	1	3	7	4
01068	4	5	4	13	2
01071	5	5	4	14	2
01075	5	5	3	13	2
01077	5	5	5	15	2
01078	5	1	1	7	4
01082	4	1	3	8	4
01083	5	5	5	15	2
01084	5	4	5	14	2
01085	4	5	4	13	2
01086	3	4	3	10	1
01087	5	5	5	15	2
01089	1	1	1	3	3
01092	5	5	5	15	2
01094	5	5	4	14	2
01099	5	5	4	14	2
01104	4	1	3	8	4
01108	4	5	4	13	2
01111	3	4	4	11	1
01114	3	1	3	7	4
01120	3	4	3	10	1
01121	3	1	3	7	4
01132	4	1	1	6	4
01133	5	5	4	14	2
01137	4	5	4	13	2
01148	4	5	3	12	1
01152	1	1	1	3	3
01153	4	1	4	9	4
01155	3	1	4	8	4
01157	1	4	4	9	1
01161	4	5	5	14	2
01167	4	4	5	13	2
01170	5	5	5	15	2
01171	5	4	4	13	2
01176	5	5	5	15	2
01180	1	1	3	5	3
01183	5	4	4	13	2
01185	1	4	5	10	1
01190	5	5	4	14	2
01192	3	1	3	7	4
01195	5	5	5	15	2
01196	3	4	4	11	1
01201	5	1	4	10	4
01208	4	1	1	6	4
01212	1	4	5	10	1
01213	3	1	3	7	4
01221	3	5	5	13	2
01226	3	1	1	5	4
01227	1	1	1	3	3
01228	1	1	1	3	3
01229	3	1	4	8	4
01232	1	1	3	5	3
01236	3	1	3	7	4
01237	5	1	1	7	4
01241	3	4	3	10	1
01244	1	1	3	5	3
01247	5	5	5	15	2
01248	4	4	5	13	2
01250	4	4	4	12	2
01251	5	5	5	15	2
01254	3	5	3	11	1
01257	3	4	1	8	1
01258	5	5	5	15	2
01260	5	4	1	10	1
01263	4	1	3	8	4
01268	1	1	3	5	3
01284	5	5	5	15	2
01289	1	1	3	5	3
01290	3	4	3	10	1
01292	4	5	4	13	2
01293	4	1	3	8	4
01294	3	5	5	13	2
01296	4	1	3	8	4
01301	3	1	3	7	4
01309	3	4	5	12	1
01310	3	4	4	11	1
01313	5	1	3	9	4
01314	5	4	4	13	2
01316	4	5	3	12	1
01329	4	1	1	6	4
01333	1	1	3	5	3
01341	5	1	1	7	4
01342	3	5	5	13	2
01343	5	1	1	7	4
01344	4	4	3	11	1
01346	3	1	1	5	4
01349	5	5	5	15	2
01356	5	5	4	14	2
01358	1	4	3	8	1
01362	1	1	3	5	3
01370	5	5	5	15	2
01375	4	1	1	6	4
01376	1	1	3	5	3
01382	3	1	3	7	4
01385	5	5	5	15	2
01386	1	1	1	3	3
01393	5	4	4	13	2
01396	5	5	5	15	2
01398	3	1	1	5	4
01400	5	1	3	9	4
01406	3	1	5	9	4
01409	3	1	1	5	4
01410	5	5	5	15	2
01411	4	5	4	13	2
01412	4	4	5	13	2
01413	1	1	3	5	3
01414	4	4	5	13	2
01416	4	5	4	13	2
01417	3	4	5	12	1
01421	4	1	1	6	4
01423	3	1	1	5	4
01427	3	1	4	8	4
01435	5	4	3	12	2
01439	1	1	1	3	3
01444	4	4	5	13	2
01445	5	5	5	15	2
01447	5	1	3	9	4
01448	5	4	3	12	2
01449	1	1	3	5	3
01450	5	5	4	14	2
01458	1	1	1	3	3
01460	5	5	5	15	2
01464	3	1	3	7	4
01468	5	5	5	15	2
01470	5	5	4	14	2
01473	1	1	1	3	3
01474	5	1	3	9	4
01488	4	4	5	13	2
01489	3	1	1	5	4
01490	3	1	3	7	4
01494	5	5	5	15	2
01496	3	4	3	10	1
01500	1	1	3	5	3
01501	5	5	4	14	2
01506	3	4	3	10	1
01509	4	4	4	12	2
01510	5	5	5	15	2
01514	4	5	3	12	1
01516	5	1	1	7	4
01519	1	1	3	5	3
01523	5	5	5	15	2
01525	3	4	4	11	1
01528	3	1	1	5	4
01532	1	1	1	3	3
01533	5	5	5	15	2
01542	3	1	1	5	4
01550	1	1	4	6	3
01551	5	5	5	15	2
01556	5	1	3	9	4
01561	1	1	4	6	3
01563	3	1	3	7	4
01564	1	1	3	5	3
01572	1	1	4	6	3
01573	5	1	3	9	4
01577	3	1	3	7	4
01580	5	5	4	14	2
01581	1	1	3	5	3
01582	5	5	4	14	2
01583	5	5	3	13	2
01584	4	4	5	13	2
01585	5	1	1	7	4
01589	1	1	1	3	3
01590	4	5	5	14	2
01593	5	5	5	15	2
01594	5	5	5	15	2
01596	3	4	4	11	1
01598	4	1	4	9	4
01600	1	1	3	5	3
01601	5	5	4	14	2
01602	1	1	1	3	3
01603	4	4	3	11	1
01606	5	5	5	15	2
01607	5	5	5	15	2
01609	4	5	4	13	2
01610	3	5	5	13	2
01613	3	1	3	7	4
01616	4	1	1	6	4
01623	5	5	5	15	2
01626	3	1	1	5	4
01632	4	5	4	13	2
01633	3	5	5	13	2
01635	5	5	4	14	2
01637	1	1	1	3	3
01638	5	5	4	14	2
01642	1	4	1	6	1
01644	4	4	3	11	1
01645	3	1	3	7	4
01646	1	1	3	5	3
01647	3	4	3	10	1
01649	1	1	1	3	3
01654	1	1	3	5	3
01656	4	5	5	14	2
01658	3	1	1	5	4
01661	5	5	4	14	2
01663	1	1	1	3	3
01668	3	1	1	5	4
01669	4	5	5	14	2
01672	5	5	4	14	2
01673	4	5	4	13	2
01675	4	5	4	13	2
01684	5	5	4	14	2
01686	4	5	5	14	2
01687	4	1	4	9	4
01689	5	5	5	15	2
01690	5	5	5	15	2
01695	5	5	5	15	2
01696	1	4	3	8	1
01697	1	4	4	9	1
01699	1	5	5	11	1
01700	4	1	3	8	4
01703	3	1	3	7	4
01705	1	4	1	6	1
01706	4	1	1	6	4
01707	5	5	3	13	2
01711	5	5	5	15	2
01713	1	4	4	9	1
01716	4	5	3	12	1
01719	3	4	4	11	1
01720	1	1	3	5	3
01722	5	5	5	15	2
01724	3	5	5	13	2
01725	4	1	1	6	4
01726	5	5	5	15	2
01728	1	1	3	5	3
01732	3	5	5	13	2
01736	4	1	3	8	4
01738	1	1	1	3	3
01741	5	5	5	15	2
01745	4	4	5	13	2
01752	4	5	4	13	2
01755	5	1	1	7	4
01757	5	4	3	12	2
01759	1	5	5	11	1
01760	5	5	5	15	2
01764	5	1	3	9	4
01765	5	5	5	15	2
01768	1	1	3	5	3
01769	5	5	5	15	2
01772	4	4	3	11	1
01773	5	5	4	14	2
01780	5	5	4	14	2
01785	1	1	3	5	3
01790	4	4	5	13	2
01791	5	5	4	14	2
01793	1	1	1	3	3
01794	5	5	5	15	2
01796	5	5	4	14	2
01799	3	5	4	12	1
01802	4	1	1	6	4
01804	1	1	3	5	3
01805	1	1	3	5	3
01807	3	1	1	5	4
01817	4	5	5	14	2
01825	5	1	1	7	4
01833	5	5	4	14	2
01834	1	1	1	3	3
01836	5	1	1	7	4
01842	4	1	3	8	4
01845	4	5	5	14	2
01846	3	1	1	5	4
01848	5	5	5	15	2
01850	5	4	3	12	2
01851	1	4	3	8	1
01854	3	4	1	8	1
01863	5	5	5	15	2
01864	1	4	1	6	1
01867	3	4	4	11	1
01868	5	5	5	15	2
01869	4	5	5	14	2
01871	5	5	4	14	2
01874	5	5	5	15	2
01877	3	1	3	7	4
01881	4	1	1	6	4
01882	5	5	5	15	2
01883	4	4	3	11	1
01890	5	5	5	15	2
01893	5	5	5	15	2
01897	4	4	4	12	2
01903	3	1	3	7	4
01907	1	1	4	6	3
01909	5	5	5	15	2
01914	1	1	1	3	3
01916	4	5	4	13	2
01918	4	4	3	11	1
01919	4	5	3	12	1
01920	5	1	1	7	4
01924	4	4	3	11	1
01925	1	1	1	3	3
01931	4	4	3	11	1
01937	5	4	4	13	2
01951	3	1	5	9	4
01965	5	5	5	15	2
01970	5	5	4	14	2
01973	3	1	1	5	4
01977	4	4	4	12	2
01980	5	5	5	15	2
01981	4	1	3	8	4
01983	3	5	5	13	2
01991	4	5	5	14	2
01996	1	5	4	10	1
01997	1	4	3	8	1
02001	3	4	3	10	1
02003	4	1	4	9	4
02016	4	4	4	12	2
02021	4	4	5	13	2
02022	1	1	3	5	3
02027	3	1	1	5	4
02033	4	5	5	14	2
02034	3	4	3	10	1
02044	4	5	4	13	2
02046	3	1	3	7	4
02048	3	1	3	7	4
02053	5	5	3	13	2
02056	3	1	1	5	4
02058	5	5	5	15	2
02061	3	4	4	11	1
02064	3	5	5	13	2
02066	5	5	5	15	2
02067	5	1	1	7	4
02069	5	4	1	10	1
02072	5	5	4	14	2
02078	5	4	5	14	2
02081	3	5	5	13	2
02084	4	4	3	11	1
02090	5	5	3	13	2
02092	3	5	5	13	2
02093	1	1	1	3	3
02099	3	1	1	5	4
02101	3	4	4	11	1
02102	3	1	3	7	4
02106	3	1	1	5	4
02107	5	5	5	15	2
02108	5	5	5	15	2
02113	5	5	4	14	2
02115	4	5	4	13	2
02124	5	5	5	15	2
02125	4	1	1	6	4
02126	1	1	1	3	3
02135	3	5	5	13	2
02146	1	1	1	3	3
02147	4	4	4	12	2
02148	1	1	3	5	3
02153	3	1	1	5	4
02154	1	1	1	3	3
02158	5	5	5	15	2
02159	5	5	5	15	2
02163	1	1	4	6	3
02164	5	5	5	15	2
02166	5	5	4	14	2
02171	3	1	4	8	4
02173	5	4	4	13	2
02183	3	1	1	5	4
02187	1	1	1	3	3
02188	3	1	1	5	4
02189	1	1	1	3	3
02190	5	5	3	13	2
02205	3	5	5	13	2
02210	3	5	5	13	2
02212	3	4	5	12	1
02215	5	5	5	15	2
02217	1	1	3	5	3
02219	3	1	1	5	4
02222	3	4	3	10	1
02223	5	5	4	14	2
02228	1	1	4	6	3
02229	4	4	4	12	2
02238	4	1	1	6	4
02240	4	5	3	12	1
02242	4	4	3	11	1
02247	1	1	1	3	3
02250	4	4	1	9	1
02253	4	1	3	8	4
02256	5	4	1	10	1
02260	4	1	1	6	4
02264	3	4	4	11	1
02266	5	5	5	15	2
02275	5	4	5	14	2
02277	1	1	3	5	3
02280	5	5	5	15	2
02282	3	4	5	12	1
02286	4	4	3	11	1
02288	4	1	1	6	4
02290	3	1	1	5	4
02295	5	5	5	15	2
02296	3	1	3	7	4
02299	5	5	5	15	2
02304	3	1	1	5	4
02305	5	5	4	14	2
02307	4	5	4	13	2
02308	4	4	5	13	2
02309	4	1	1	6	4
02311	3	1	1	5	4
02315	5	5	5	15	2
02316	5	1	3	9	4
02317	5	5	5	15	2
02322	1	4	3	8	1
02333	3	1	1	5	4
02342	1	1	3	5	3
02349	3	1	1	5	4
02351	5	5	4	14	2
02355	3	1	4	8	4
02356	3	5	5	13	2
02357	5	5	3	13	2
02358	5	5	4	14	2
02359	5	4	3	12	2
02364	5	5	5	15	2
02366	5	5	3	13	2
02368	5	5	5	15	2
02369	1	1	1	3	3
02370	3	4	4	11	1
02374	5	4	3	12	2
02377	4	5	4	13	2
02378	1	1	3	5	3
02388	5	5	5	15	2
02389	5	5	5	15	2
02390	1	1	1	3	3
02393	4	4	4	12	2
02394	3	1	1	5	4
02400	5	4	3	12	2
02405	5	5	5	15	2
02419	5	1	4	10	4
02420	4	4	5	13	2
02427	1	1	4	6	3
02429	5	5	5	15	2
02430	4	5	4	13	2
02432	5	5	5	15	2
02434	4	4	4	12	2
02443	5	1	3	9	4
02445	3	1	1	5	4
02447	1	1	3	5	3
02449	5	4	4	13	2
02450	1	4	5	10	1
02455	4	1	1	6	4
02456	1	1	1	3	3
02457	4	1	1	6	4
02460	5	5	5	15	2
02466	5	5	4	14	2
02470	5	1	1	7	4
02475	3	1	3	7	4
02476	1	1	1	3	3
02479	3	4	3	10	1
02484	5	5	5	15	2
02489	3	1	3	7	4
02499	5	5	5	15	2
02500	3	1	3	7	4
02501	5	1	3	9	4
02502	3	4	3	10	1
02509	4	5	5	14	2
02516	5	1	4	10	4
02517	1	1	3	5	3
02520	5	1	1	7	4
02524	5	4	4	13	2
02525	1	1	1	3	3
02526	3	1	3	7	4
02533	5	1	5	11	4
02534	5	5	5	15	2
02536	5	5	5	15	2
02542	3	4	1	8	1
02545	3	1	1	5	4
02547	3	5	5	13	2
02549	4	5	5	14	2
02554	5	5	3	13	2
02557	4	4	4	12	2
02560	3	5	5	13	2
02561	4	5	4	13	2
02564	5	5	5	15	2
02567	3	1	1	5	4
02578	5	1	1	7	4
02579	1	1	1	3	3
02583	5	5	5	15	2
02584	3	1	1	5	4
02588	1	1	3	5	3
02591	5	4	4	13	2
02594	4	4	3	11	1
02595	3	5	4	12	1
02597	5	5	5	15	2
02598	3	1	1	5	4
02599	3	1	3	7	4
02601	5	5	5	15	2
02603	3	4	1	8	1
02604	4	5	5	14	2
02607	1	1	1	3	3
02612	3	1	3	7	4
02615	1	1	1	3	3
02617	4	1	1	6	4
02620	4	1	1	6	4
02623	5	1	1	7	4
02626	5	5	3	13	2
02629	1	5	5	11	1
02630	3	1	1	5	4
02636	4	4	3	11	1
02637	4	5	1	10	1
02638	4	5	5	14	2
02639	5	4	3	12	2
02644	3	5	4	12	1
02646	1	1	1	3	3
02647	4	1	3	8	4
02651	3	5	4	12	1
02653	5	1	3	9	4
02660	3	5	4	12	1
02661	4	5	5	14	2
02662	1	1	1	3	3
02663	3	4	3	10	1
02664	5	5	5	15	2
02666	1	1	1	3	3
02671	5	5	4	14	2
02675	3	4	4	11	1
02683	4	5	5	14	2
02687	1	1	3	5	3
02692	5	5	5	15	2
02712	4	4	3	11	1
02717	5	5	5	15	2
02721	3	1	3	7	4
02724	3	4	3	10	1
02729	3	1	4	8	4
02732	1	1	1	3	3
02737	3	1	1	5	4
02738	3	5	4	12	1
02744	3	5	3	11	1
02745	3	5	4	12	1
02747	1	1	3	5	3
02748	5	5	4	14	2
02753	4	1	3	8	4
02754	1	1	1	3	3
02755	5	1	3	9	4
02759	5	5	5	15	2
02760	5	5	5	15	2
02767	3	1	1	5	4
02769	4	4	3	11	1
02770	3	5	4	12	1
02778	4	1	1	6	4
02784	3	5	4	12	1
02791	4	1	1	6	4
02792	1	4	4	9	1
02798	5	5	5	15	2
02810	1	4	5	10	1
02811	4	4	4	12	2
02818	3	1	1	5	4
02820	1	1	3	5	3
02822	4	4	1	9	1
02829	1	5	5	11	1
02830	3	1	4	8	4
02833	5	1	3	9	4
02835	3	1	3	7	4
02841	5	5	4	14	2
02842	3	1	1	5	4
02844	5	5	4	14	2
02849	5	1	1	7	4
02850	3	1	3	7	4
02851	5	5	4	14	2
02853	1	1	1	3	3
02855	4	1	1	6	4
02856	5	5	3	13	2
02867	3	5	3	11	1
02869	1	1	3	5	3
02870	4	5	4	13	2
02871	1	4	5	10	1
02873	4	4	4	12	2
02874	3	4	1	8	1
02876	1	1	1	3	3
02881	5	5	5	15	2
02882	5	5	4	14	2
02883	3	1	4	8	4
02899	1	1	4	6	3
02900	3	1	3	7	4
02903	3	1	1	5	4
02908	5	5	5	15	2
02909	5	4	1	10	1
02912	1	1	1	3	3
02921	5	5	5	15	2
02927	5	5	4	14	2
02928	5	5	5	15	2
02931	5	5	5	15	2
02941	3	5	5	13	2
02942	1	4	3	8	1
02945	5	5	5	15	2
02952	5	5	4	14	2
02953	4	5	5	14	2
02954	1	5	5	11	1
02955	4	1	3	8	4
02957	5	5	5	15	2
02964	5	1	1	7	4
02965	3	4	5	12	1
02966	4	4	4	12	2
02971	3	5	4	12	1
02973	3	1	3	7	4
02975	5	5	4	14	2
02976	1	1	1	3	3
02979	5	1	4	10	4
02986	3	5	5	13	2
02987	4	1	1	6	4
02988	1	1	3	5	3
02998	5	5	5	15	2
02999	4	4	4	12	2
03002	3	5	4	12	1
03009	4	5	4	13	2
03011	4	5	4	13	2
03012	5	5	4	14	2
03014	5	1	1	7	4
03015	3	5	4	12	1
03016	1	5	4	10	1
03018	4	4	4	12	2
03020	3	4	1	8	1
03026	4	5	4	13	2
03028	3	1	1	5	4
03035	5	5	4	14	2
03036	5	4	3	12	2
03040	1	1	3	5	3
03041	5	5	5	15	2
03044	5	5	5	15	2
03046	1	1	1	3	3
03049	5	5	5	15	2
03051	5	5	5	15	2
03053	4	5	5	14	2
03062	4	5	4	13	2
03064	4	5	5	14	2
03065	1	5	5	11	1
03073	4	5	4	13	2
03074	5	5	4	14	2
03082	3	1	1	5	4
03084	3	1	4	8	4
03089	3	1	1	5	4
03090	4	5	5	14	2
03091	4	4	4	12	2
03092	3	1	4	8	4
03095	1	1	4	6	3
03110	1	4	5	10	1
03114	3	4	4	11	1
03118	1	1	1	3	3
03120	1	1	3	5	3
03124	4	5	4	13	2
03127	5	5	4	14	2
03130	1	4	3	8	1
03131	1	1	1	3	3
03133	1	1	3	5	3
03138	5	4	5	14	2
03139	5	5	5	15	2
03141	5	5	3	13	2
03142	1	4	4	9	1
03145	4	1	1	6	4
03146	5	5	5	15	2
03148	3	1	3	7	4
03154	4	4	3	11	1
03156	4	1	3	8	4
03157	4	5	5	14	2
03159	1	1	1	3	3
03163	4	5	5	14	2
03165	4	4	3	11	1
03176	5	5	5	15	2
03180	3	4	3	10	1
03181	4	4	4	12	2
03182	1	1	4	6	3
03184	5	5	5	15	2
03189	3	1	4	8	4
03191	4	4	4	12	2
03192	3	1	3	7	4
03193	5	1	3	9	4
03195	5	5	5	15	2
03197	1	1	3	5	3
03198	4	5	5	14	2
03203	5	4	4	13	2
03205	3	5	4	12	1
03206	5	5	5	15	2
03210	4	1	1	6	4
03211	4	5	4	13	2
03216	1	4	1	6	1
03225	4	1	3	8	4
03229	5	5	4	14	2
03230	1	1	4	6	3
03238	3	5	5	13	2
03239	5	4	3	12	2
03246	1	1	1	3	3
03249	5	5	4	14	2
03250	5	1	1	7	4
03256	3	1	4	8	4
03258	3	1	1	5	4
03259	3	4	4	11	1
03270	4	1	3	8	4
03273	3	1	1	5	4
03282	1	1	1	3	3
03283	5	5	5	15	2
03285	5	4	5	14	2
03289	5	5	5	15	2
03290	4	5	4	13	2
03291	5	5	5	15	2
03298	1	1	1	3	3
03299	1	1	3	5	3
03303	5	5	5	15	2
03306	4	4	1	9	1
03311	5	1	1	7	4
03313	3	1	5	9	4
03314	5	5	5	15	2
03315	1	1	1	3	3
03316	1	1	3	5	3
03318	4	1	1	6	4
03319	1	1	1	3	3
03324	1	4	3	8	1
03325	3	5	4	12	1
03328	3	5	4	12	1
03331	5	5	3	13	2
03332	5	5	5	15	2
03334	5	5	3	13	2
03335	4	4	3	11	1
03337	3	1	1	5	4
03338	1	1	1	3	3
03339	4	4	4	12	2
03345	3	1	1	5	4
03350	5	5	5	15	2
03356	5	5	5	15	2
03358	1	1	1	3	3
03362	5	5	5	15	2
03365	4	4	1	9	1
03367	4	1	3	8	4
03370	1	4	3	8	1
03377	4	1	3	8	4
03380	5	5	5	15	2
03384	5	5	5	15	2
03385	1	1	1	3	3
03394	5	1	3	9	4
03395	4	1	1	6	4
03400	5	5	5	15	2
03402	4	5	5	14	2
03406	5	5	4	14	2
03407	5	4	3	12	2
03409	3	4	4	11	1
03412	4	5	5	14	2
03413	3	5	5	13	2
03415	4	1	5	10	4
03416	4	5	5	14	2
03419	4	5	4	13	2
03421	4	5	5	14	2
03423	3	1	1	5	4
03424	3	1	3	7	4
03428	4	5	5	14	2
03430	3	1	1	5	4
03432	5	4	3	12	2
03442	1	5	5	11	1
03443	5	5	5	15	2
